Timestamp,Actual Grade,Predicted Grade
7/6/2017 8:16:36,37,38
7/6/2017 8:37:10,38,38
7/6/2017 8:51:53,37,38
7/6/2017 9:09:48,41,40
7/6/2017 9:14:45,43,43
7/6/2017 9:35:46,32,26
7/6/2017 9:43:22,29,24
7/6/2017 9:51:42,38,43
7/6/2017 9:55:49,39,36
7/6/2017 9:57:05,30,35
7/6/2017 10:19:32,43,43
7/6/2017 10:26:08,31,36
7/6/2017 10:27:20,39,36
7/6/2017 10:38:39,29,24
7/6/2017 10:43:56,37,37
7/6/2017 11:14:27,43,43
7/6/2017 11:15:33,44,44
7/6/2017 11:22:28,31,37
7/6/2017 11:25:04,42,39
7/6/2017 11:41:25,39,40
7/6/2017 11:42:39,43,43
7/6/2017 11:43:21,42,44
7/6/2017 11:47:38,38,36
7/6/2017 12:38:49,34,39
7/6/2017 12:51:27,34,29
7/6/2017 12:52:41,36,38
7/6/2017 13:11:36,38,35
7/6/2017 13:12:54,31,29
7/6/2017 13:58:34,42,41
7/6/2017 14:01:23,39,41
7/6/2017 14:02:05,36,29
7/6/2017 14:04:52,31,28
7/6/2017 14:06:40,46,48
7/6/2017 14:10:52,38,40
7/6/2017 14:14:46,38,36
7/6/2017 14:16:41,38,39
7/6/2017 14:20:16,38,38
7/6/2017 14:21:06,32,28
7/6/2017 14:22:43,29,26
7/6/2017 14:22:55,40,44
7/6/2017 14:23:28,34,38
7/6/2017 14:28:05,31,33
7/6/2017 14:28:53,38,38
7/6/2017 14:31:40,38,39
7/6/2017 14:31:45,29,25
7/6/2017 14:34:07,38,40
7/6/2017 14:34:40,40,41
7/6/2017 14:39:52,39,30
7/6/2017 14:42:15,38,42
7/6/2017 14:43:26,33,32
7/6/2017 14:44:35,45,43
7/6/2017 14:45:38,41,44
7/6/2017 14:47:46,36,39
7/6/2017 14:48:50,36,40
7/6/2017 14:51:23,38,33
7/6/2017 14:51:59,37,38
7/6/2017 14:57:52,43,41
7/6/2017 14:59:49,39,40
7/6/2017 15:01:42,37,38
7/6/2017 15:01:49,39,40
7/6/2017 15:05:09,42,42
7/6/2017 15:07:15,43,44
7/6/2017 15:10:49,35,38
7/6/2017 15:11:09,41,42
7/6/2017 15:13:25,36,41
7/6/2017 15:18:12,30,32
7/6/2017 15:18:16,36,39
7/6/2017 15:18:16,39,41
7/6/2017 15:20:12,36,34
7/6/2017 15:24:59,36,32
7/6/2017 15:30:39,36,34
7/6/2017 15:31:59,38,37
7/6/2017 15:33:36,39,34
7/6/2017 15:38:05,33,36
7/6/2017 15:42:33,40,40
7/6/2017 15:42:51,43,44
7/6/2017 15:44:19,33,35
7/6/2017 15:45:39,31,32
7/6/2017 15:46:27,42,42
7/6/2017 15:55:19,31,37
7/6/2017 15:58:25,39,42
7/6/2017 16:07:01,22,22
7/6/2017 16:07:06,35,31
7/6/2017 16:08:16,35,28
7/6/2017 16:09:34,39,36
7/6/2017 16:15:11,42,45
7/6/2017 16:19:27,40,43
7/6/2017 16:22:30,27,28
7/6/2017 16:28:13,33,28
7/6/2017 16:29:29,42,38
7/6/2017 16:32:56,37,33
7/6/2017 16:39:22,28,38
7/6/2017 16:40:05,36,40
7/6/2017 16:46:07,43,41
7/6/2017 16:49:00,36,33
7/6/2017 16:51:05,34,33
7/6/2017 16:52:02,44,45
7/6/2017 16:55:10,38,39
7/6/2017 16:56:17,34,31
7/6/2017 16:56:27,32,35
